 The table setting for Seoul Garden: the soup pot in the middle for boiling food, and a hotplate around it for frying.,0
 soul cups cupcakes valentines display at say cheese in silver lake,7
 Puppy's eating matzo ball soup @ Jerry's in miami beach,1
 Hot pink cupcakes for Lillie's Wedding Shower. First use of baking in white candy cups.,0
 18th Birthday cake tower, pink cupcakes topped with flowers on a Classikool cake stand. Cakes by Clare Chapman,0
 Lemon Meringue cupcakes baked in white foil baking cups wrapped with bird theme cupcake wrappers.,0
 obama cupcakes by flying monkey,7
 bear cupcakes in box,7
 Left:Jidori chicken confit, Right:octopus salad :Cabbage soup in a cup : Sauted vegatable in back,0
 Made in planet cake cupcakes book lauch, Had lots of fun!,4
 Urban Coffee Series - Thursday Dutch fish soup in espresso cup,4
 fish soup in ancient crock pot,7
 Happy visitor to the icecream van baths in flavour cloud,5
 This is a toasted rice ball in a green tea soup with crackers and green onions and nori strips. Very satisfying!,0
 fishhead soup (mystery fish) at the market adjoining yehliu geo-park, northern coast of taiwan.  Eyeball in the sticks.,9
 Japanese Ochazuke soup: sencha green tea to be poured over brown rice, baked salmon, &amp;amp; wasabi.Chicken sausage, naan &amp;amp; raita,0
 Food preparation area - see the plate of chicken and liver - that's what I had in my soup!,0
 Vanilla cake with colored layers in white, orange and yellow topped with SMBCHalloween cupcake order for 5 doz cupcakes,7
 300 mini cupcakes and cutting cake in navy, lime green and white.,9
 Boston creme cupcakes in a pizza box,4
 noodle soup in white plate over the black background,7
 Getting ready to make flower pot cupcakes here are the toppers ready to go sugar cookies decorated in RI .,6
 pink rose cupcakes in a pot,7
 christmas 2009 in the kitchen while we were making cupcakes with her new girl gourmet cupcake maker,1
 cupcakes -- in black and white,7
 Mee Calong = noodles in clear soup with fish balls, tofu and beansprouts = yums!,4
 winter garden in a rolling pink handmade box nourished by astronaut icecream style pellets,3
 Two cute fondant frogs in a pond sit atop this couples cake with some lovely cupcakes to match!,0
 Getting ready to make flower pot cupcakes here are the toppers ready to go sugar cookies decorated in RI,6
 instead of getting her soup in a bowl like &amp;quot;normal&amp;quot;, the italian restaurant gave missy her soup in a box,7
 instead of getting her soup in a bowl like &amp;quot;normal&amp;quot;, the italian restaurant gave missy her soup in a box,7
 Chips and dip from Rose, vegetables from Jennifer, fresh fruit salad from Marianne and red velvet cupcakes make from scratch by Kara's mom.,0
 A Taste of Rubies Edible Favors - Red velvet cupcakes in little cute house boxes,8
 punk rock kitchen (necessary ingredient in vegan cupcakes),3
 The view out the door whilst eating icecream at Fanny's on the last day in Hanoi.,8
 Raspberry &amp;amp; white chocolate mini cupcakes - customer wanted simple design in pink &amp;amp; green for girl's 2nd birthday,0
 weekend specials: vegetarian Italian wedding soup, Viet salad, burritos, rice ball in Matcha green tea broth..,7
 Teriyaki chicken over brown rice, salad, gyoza, California roll and miso soup. At Itsuki.,4
 Pretty in pink & silver cake & cupcakes for a combined 20th & 21st birthday,3
 the floor outside &amp;quot;St. John of God&amp;quot;'s soup kitchen in Abadiania,8
 Small white cake with baby in flower topper. cupcakes iced with bc with fondant accents,8
 Hi hat cupcakes - red velvet cupcake with green italian meringue dipped in semi-sweet chocolate.Halloween cupcake order for 5 doz cupcakes,7
 Hi hat cupcakes - red velvet cupcake with green italian meringue dipped in semi-sweet chocolate.Halloween cupcake order for 5 doz cupcakes,7
 fish cake in soup,7
 I know it looks like pea soup green but it matches the yellow in the Kitchen very well.,0
 ubiquitous greens, fish buried in nuts, scalding duck soup,4
 Made in planet cake cupcakes book lauch, Had lots of fun!,4
 The chicken broccoli black bean soup, at the Broadway Grill, in Seattle's Capitol Hill neighborhood.,0
 Choclate cupcakes hearts, daisies, butterflies in red & pink,9
 wonderful chicken soup in Stock pot,7
 butterfly at the base of a tree trunk in the garden landscape cupcakes,9
 Left: black truffle explosion. Right: the hot potato-cold potato soup without the soup poured in the bowl yet.,7
 Left: black truffle explosion. Right: the hot potato-cold potato soup without the soup poured in the bowl yet.,7
 Made at home in a D.O. and moved to a crock pot for the office crowd (soup day).Ingredients:BaconOnionGarlicPepperCeleryChicken BrothHam HocksBeans,1
 Lunch on our boat cruise in China.  The shrimp was my favorite but beware of the fish soup...,0
 Dinner made by one of Kate's friends...yes, that is an entire chicken in the bowl of soup,4
 The duck was swimming around at Titchwell in a golden muddy soup.,5
 lunchtime! Left over chicken noodle soup, wheat fiber crackers and light laughing cow cheese.,6
 Cuban black bean soup in bread bowl,7
 sugar free black raspberry and dark chocolate icecream bar by Blue Bunny. they're good. but they've got rules.,1
 Birthday girl got a special box of Barbie themed cupcakes in her favourite colour pink.,4
 A monkey getting the cold icecream treatment, in the shopping street leading to USJ.,8
 clear seafood soup in fish dumpling,7
 Scallop in pea soup with flying fish roe,5
 mixed fish ball soup.  I think there was shark meat in there.,0
 hearty chicken soup in a large pot with lid,7
 Thai rice noodle soup serve with slice chicken simmer in the soup and top with bean sprouts, green onion and fry garlic.,1
 Thai rice noodle soup serve with slice chicken simmer in the soup and top with bean sprouts, green onion and fry garlic.,1
